,index,id,date,time,user_id,username,name,tweet,language,link,EYD,remove_stopword,Stemming,Token,label
0,0,1.64e+18,3/29/2023,17:58:30,1.42e+18,earllwl,lav ender,pangerannya kya bule yg suka berulah di bali,in,https://twitter.com/earllwl/status/1641032074587979777,pangerannya kayak bule yang suka berulah di bali,pangerannya bule suka berulah bali,pangeran bule suka ulah bali,"['pangeran', 'bule', 'suka', 'ulah', 'bali']",0
1,1,1.64e+18,3/28/2023,11:08:18,1.53e+18,fsbali88,Dev Bot, 380h m ago marak bule rusia ukraina berulah di bali koster kaji penghapusan visa on arrival detikbali ,in,https://twitter.com/fsbali88/status/1640566457309470720, 380h sama ago marak bule rusia ukraina berulah di bali koster kaji penghapusan visa on arrival detikbali ,380h ago marak bule rusia ukraina berulah bali koster kaji penghapusan visa on arrival detikbali,380h ago marak bule rusia ukraina ulah bali koster kaji hapus visa on arrival detikbali,"['380h', 'ago', 'marak', 'bule', 'rusia', 'ukraina', 'ulah', 'bali', 'koster', 'kaji', 'hapus', 'visa', 'on', 'arrival', 'detikbali']",0
2,2,1.64e+18,3/31/2023,8:39:55,598959076.0,20detik,20DETIK,menkumham sebut bule di bali naik motor tanpa helm terpengaruh orang kita,in,https://twitter.com/20detik/status/1641616280091529216,menteri hukum dan hak asasi manusia sebut bule di bali naik motor tanpa helm terpengaruh orang kita,menteri hukum hak asasi manusia bule bali motor helm terpengaruh orang,menteri hukum hak asasi manusia bule bali motor helm pengaruh orang,"['menteri', 'hukum', 'hak', 'asasi', 'manusia', 'bule', 'bali', 'motor', 'helm', 'pengaruh', 'orang']",0
3,3,1.64e+18,3/24/2023,12:56:31,219527452.0,suaramerdeka,suaramerdeka.com,video chris hemsworth pakai helm di bali jadi viral warganet dewa aja taat lalu lintas masa kamu nggak ,in,https://twitter.com/suaramerdeka/status/1639144138917527552,video chris hemsworth pakai helm di bali jadi viral warganet dewa saja taat lalu lintas masa kamu enggak ,video chris hemsworth pakai helm bali viral warganet dewa taat lintas,video chris hemsworth pakai helm bali viral warganet dewa taat lintas,"['video', 'chris', 'hemsworth', 'pakai', 'helm', 'bali', 'viral', 'w', 'arganet', 'dewa', 'taat', 'lintas']",0
4,4,1.64e+18,3/24/2023,8:30:32,1.45e+18,akunkeberapa52,akunkeberapa,heran bule di bali pakai helm trus viral kenapa harus hal2 mendasar viral pakai helm ya memang sudah keharusan di jalan raya ketika berkendara ada2 aja masyarakat,in,https://twitter.com/akunkeberapa52/status/1639077205341884424,heran bule di bali pakai helm terus viral kenapa harus hal hal mendasar viral pakai helm ya memang sudah keharusan di jalan raya ketika berkendara ada ada saja masyarakat,heran bule bali pakai helm viral mendasar viral pakai helm ya keharusan jalan raya berkendara masyarakat,heran bule bali pakai helm viral dasar viral pakai helm ya harus jalan raya kendara masyarakat,"['heran', 'bule', 'bali', 'pakai', 'helm', 'viral', 'dasar', 'viral', 'pakai', 'helm', 'ya', 'harus', 'jalan', 'raya', 'kendara', 'masyarakat']",0
5,5,1.64e+18,3/23/2023,13:08:19,350668803.0,indozonemedia,Indozone Media,naik motor di bali helm bule ini kacanya hampir lepas emang random banget ,in,https://twitter.com/indozonemedia/status/1638784721890185219,naik motor di bali helm bule ini kacanya hampir lepas memang random banget ,motor bali helm bule kacanya lepas random,motor bali helm bule kaca lepas random,"['motor', 'bali', 'helm', 'bule', 'kaca', 'lepas', 'random']",1
6,6,1.64e+18,3/23/2023,8:58:14,8.49e+17,merrmagda,Merr Magda,mas keren mau disiplin pake helm di bali ngga kayak bule bali kebanyakan cekidot ,in,https://twitter.com/MerrMagda/status/1638721786992005120,mas keren mau disiplin pakai helm di bali tidak kayak bule bali kebanyakan check it out ,mas keren disiplin pakai helm bali bule bali kebanyakan check it out,mas keren disiplin pakai helm bali bule bali banyak check it out,"['mas', 'keren', 'disiplin', 'pakai', 'helm', 'bali', 'bule', 'bali', 'banyak', 'check', 'it', 'out']",0
7,7,1.64e+18,3/22/2023,9:44:37,7.65e+17,alfathmauzy,Pemuda Tersesat 🏴󠁧󠁢󠁥󠁮󠁧󠁿,ini juga bule di bali naek motor pake helm,in,https://twitter.com/AlfathMauzy/status/1638371072910454785,ini juga bule di bali naik motor pakai helm,bule bali motor pakai helm,bule bali motor pakai helm,"['bule', 'bali', 'motor', 'pakai', 'helm']",1
8,8,1.64e+18,3/22/2023,8:58:33,1.2e+18,askrlfess,Askrlfess, askrl thor ke bali aja pake helm emang bule yang berduit itu lebih taat aturan daripada bule yang kere,in,https://twitter.com/Askrlfess/status/1638359478432329728, askrl thor ke bali saja pakai helm memang bule yang berduit itu lebih taat aturan daripada bule yang kere,askrl thor bali pakai helm bule berduit taat aturan bule kere,askrl thor bali pakai helm bule duit taat atur bule kere,"['askrl', 'thor', 'bali', 'pakai', 'helm', 'bule', 'duit', 'taat', 'atur', 'bule', 'kere']",1
9,9,1.64e+18,3/21/2023,23:36:41,1.04e+18,chhuda5,Ch Huda,rame grombolan oknum bule pekok dri negri antah berantah gae rusuh di bali klo bule beneran pasti taat aturan apalagi klo dari negri avanger thor aja hapy bnget pake helm,in,https://twitter.com/ChHuda5/status/1638218079686754307,ramai gerombolan oknum bule bodoh dari negeri antah berantah gae rusuh di bali kalau bule benaran pasti taat aturan apalagi kalau dari negeri avanger thor saja hapy banget pakai helm,ramai gerombolan oknum bule bodoh negeri antah berantah gae rusuh bali bule benaran taat aturan negeri avanger thor hapy pakai helm,ramai gerombol oknum bule bodoh negeri antah antah gae rusuh bali bule benar taat atur negeri avanger thor hapy pakai helm,"['ramai', 'gerombol', 'oknum', 'bule', 'bodoh', 'negeri', 'antah', 'antah', 'gae', 'rusuh', 'bali', 'bule', 'benar', 'taat', 'atur', 'negeri', 'avanger', 'thor', 'hapy', 'pakai', 'helm']",0
